"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Payments","Total current account","All countries","Dollars","81","millions","6","v61914458","1.2.1.1","953166","","","","0"
"2022","Canada","2016A000011124","Payments","Total current account","All countries","Dollars","81","millions","6","v61914458","1.2.1.1","1160604","","","","0"
"2023","Canada","2016A000011124","Payments","Total current account","All countries","Dollars","81","millions","6","v61914458","1.2.1.1","1236223","","","","0"
"2024","Canada","2016A000011124","Payments","Total current account","All countries","Dollars","81","millions","6","v61914458","1.2.1.1","1280282","","","","0"
"2020","Canada","2016A000011124","Payments","Goods and services","All countries","Dollars","81","millions","6","v61914466","1.2.2.1","703531","","","","0"
"2021","Canada","2016A000011124","Payments","Goods and services","All countries","Dollars","81","millions","6","v61914466","1.2.2.1","787921","","","","0"
"2022","Canada","2016A000011124","Payments","Goods and services","All countries","Dollars","81","millions","6","v61914466","1.2.2.1","951485","","","","0"
"2023","Canada","2016A000011124","Payments","Goods and services","All countries","Dollars","81","millions","6","v61914466","1.2.2.1","976442","","","","0"
"2024","Canada","2016A000011124","Payments","Goods and services","All countries","Dollars","81","millions","6","v61914466","1.2.2.1","1004845","","","","0"
"2020","Canada","2016A000011124","Payments","Goods","All countries","Dollars","81","millions","6","v61914474","1.2.3.1","563123","","","","0"
"2021","Canada","2016A000011124","Payments","Goods","All countries","Dollars","81","millions","6","v61914474","1.2.3.1","634826","","","","0"
"2022","Canada","2016A000011124","Payments","Goods","All countries","Dollars","81","millions","6","v61914474","1.2.3.1","762504","","","","0"
"2023","Canada","2016A000011124","Payments","Goods","All countries","Dollars","81","millions","6","v61914474","1.2.3.1","770551","","","","0"
"2024","Canada","2016A000011124","Payments","Goods","All countries","Dollars","81","millions","6","v61914474","1.2.3.1","785753","","","","0"
"2020","Canada","2016A000011124","Payments","Services","All countries","Dollars","81","millions","6","v61914482","1.2.5.1","140408","","","","0"
